"Code","Year","Period","Date","Captures","ll","Location","Longitude","Latitude"
"S04254",2022,"Afternoon","2022-07-24",19,-20.2877047671675,"Forestville",-69.077833,48.738333
"S04254",2022,"Evening","2022-07-24",23,-20.2877047671675,"Forestville",-69.077833,48.738333
"S04254",2022,"Morning","2022-07-24",1,-20.2877047671675,"Forestville",-69.077833,48.738333
"S04254",2022,"Night","2022-07-24",1,-20.2877047671675,"Forestville",-69.077833,48.738333
"S04272",2019,"Afternoon","2019-08-02",3,-20.1761419689487,"St Modeste",-69.391333,47.836833
"S04272",2019,"Evening","2019-08-02",63,-20.1761419689487,"St Modeste",-69.391333,47.836833
"S04272",2019,"Morning","2019-08-02",0,-20.1761419689487,"St Modeste",-69.391333,47.836833
"S04272",2019,"Night","2019-08-02",1,-20.1761419689487,"St Modeste",-69.391333,47.836833
"S04288",2022,"Afternoon","2022-08-05",0,-20.0699373274165,"Duchenier",-68.5915,48.116667
"S04288",2022,"Evening","2022-08-05",14,-20.0699373274165,"Duchenier",-68.5915,48.116667
"S04288",2022,"Morning","2022-08-05",0,-20.0699373274165,"Duchenier",-68.5915,48.116667
"S04288",2022,"Night","2022-08-05",0,-20.0699373274165,"Duchenier",-68.5915,48.116667
"S04273",2018,"Afternoon","2018-07-16",1,-20.0408673071693,"Baie Comeau",-68.197667,49.138167
"S04273",2018,"Evening","2018-07-16",54,-20.0408673071693,"Baie Comeau",-68.197667,49.138167
"S04273",2018,"Morning","2018-07-16",0,-20.0408673071693,"Baie Comeau",-68.197667,49.138167
"S04273",2018,"Night","2018-07-16",6,-20.0408673071693,"Baie Comeau",-68.197667,49.138167
"S04288",2022,"Afternoon","2022-07-12",0,-19.805662768274,"Duchenier",-68.5915,48.116667
"S04288",2022,"Evening","2022-07-12",0,-19.805662768274,"Duchenier",-68.5915,48.116667
"S04288",2022,"Morning","2022-07-12",0,-19.805662768274,"Duchenier",-68.5915,48.116667
"S04288",2022,"Night","2022-07-12",19,-19.805662768274,"Duchenier",-68.5915,48.116667
"S04540",2022,"Afternoon","2022-07-11",8,-19.7348762009307,"Cheesemans Park",-59.2835,47.734833
"S04540",2022,"Evening","2022-07-11",29,-19.7348762009307,"Cheesemans Park",-59.2835,47.734833
"S04540",2022,"Morning","2022-07-11",0,-19.7348762009307,"Cheesemans Park",-59.2835,47.734833
"S04540",2022,"Night","2022-07-11",20,-19.7348762009307,"Cheesemans Park",-59.2835,47.734833
